Korea,,,,,,,
Flavor,Orginial Oreo,Golden Oreo,chocolate oreo,red velvet,cinnamon roll,strawberry,mint
per serving (sandwich#),,,3,,,,
per serving (g),20,,50,50,,20,40
per serving sugar,7.6,,18,19,,7.6,16
per 100g,38,,38,38,36,38,
America,,,,,,,
Flavor,Orginial Oreo,Golden Oreo,chocolate oreo,red velvet,,,
per serving (sandwich#),,,,,,,
per serving (g),34,29,29,29,29,,
per serving sugar (g),14,12,13,13,13,,
per 100g,41,41,45,45,45,,
,108%,124%,119%,112%,,,
Taiwan,,,,,,,
Flavor,Orginial Oreo,Golden Oreo,chocolate oreo,red velvet,caramel,,
per serving (sandwich#),,,,,,,
per serving ,30,,,,,,
per serving sugar,11.5,10,,12,10.5,,
per 100g,38.2,33.5,37.6,40,35.2,,
,,,,,,,
Japan,,,,,,,
Flavor,,,,,,,
per serving (sandwich#),1,3,,,,,
per serving ,4.6,13.8,,,,,
per serving sugar,,,,,,,
per 100g,22,,,,,,
,,,,,,,
,,,,,,,
Cleaned,,,,,,,
Country,Flavor,Orginial,Golden,Chocolate,Red Velvet,Caramel,
United States ,added suagr per 100g,41,41,45,45,45,
Taiwan,added suagr per 100g,38.2,33.5,37.6,40,35.2,
"% sweeter, US to Taiwan",,7.79%,23.52%,19.22%,12.07%,27.84%,